OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GSP,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
07/14/2018,49,31,15,0,95,0,0,0,0,0,0,3,7,2,12,0,0,2,0,2,0,0,0,107,109
07/15/2018,64,30,16,0,110,0,0,1,0,1,0,1,15,0,16,0,0,2,0,2,10,0,10,136,139
07/16/2018,66,45,29,9,149,0,0,5,0,5,0,1,8,0,9,0,0,1,0,1,0,0,0,158,164
07/17/2018,66,43,23,0,132,0,0,5,0,5,0,0,5,0,5,0,0,1,0,1,0,0,0,137,143
07/18/2018,76,39,21,22,158,0,0,1,0,1,0,8,12,0,20,0,0,4,0,4,0,0,0,178,183
07/19/2018,70,38,31,0,139,0,0,1,0,1,0,0,5,0,5,0,0,6,0,6,0,0,0,144,151
07/20/2018,74,39,8,2,123,0,0,0,1,1,0,0,15,2,17,0,0,2,0,2,0,0,0,140,143
07/21/2018,48,28,10,0,86,0,0,0,0,0,0,0,7,0,7,0,0,1,0,1,0,0,0,93,94
07/22/2018,67,34,9,0,110,0,0,1,0,1,0,1,7,0,8,0,0,4,0,4,10,0,10,128,133
07/23/2018,66,38,19,2,125,1,0,0,0,1,0,0,5,0,5,0,0,0,0,0,6,0,6,136,137
07/24/2018,68,34,28,0,130,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,131,133
07/25/2018,71,38,28,9,146,0,0,4,0,4,0,0,3,7,10,0,0,3,0,3,18,0,18,174,181
07/26/2018,73,45,50,4,172,0,0,1,0,1,0,8,16,0,24,0,0,6,1,7,0,10,10,206,214
07/27/2018,64,38,23,6,131,0,1,3,0,4,0,2,16,2,20,0,0,8,0,8,6,0,6,157,169
07/28/2018,50,28,8,0,86,0,1,0,0,1,0,6,10,0,16,0,1,0,0,1,0,0,0,102,104
07/29/2018,65,44,19,4,132,0,0,1,0,1,0,3,5,0,8,0,0,2,0,2,0,0,0,140,143
